timestamp,updateId,source,sequenceNumber
1756384600770,75447506571,bookTicker,460
1756384600771,75447506572,bookTicker,461
1756384600771,75447506573,bookTicker,462
1756384600771,75447506574,bookTicker,463
1756384600772,75447506575,bookTicker,464
1756384600772,75447506576,bookTicker,465
1756384600772,75447506577,bookTicker,466
1756384600773,75447506578,bookTicker,467
1756384600798,75447506594,bookTicker,468
1756384600842,75447506871,depth5,46
1756384600857,75447506615,bookTicker,469
1756384600860,75447506616,bookTicker,470
1756384600860,75447506617,bookTicker,471
1756384600860,75447506618,bookTicker,472
1756384600861,75447506619,bookTicker,473
1756384600861,75447506620,bookTicker,474
1756384600862,75447506621,bookTicker,475
1756384600862,75447506622,bookTicker,476
1756384600862,75447506623,bookTicker,477
1756384600863,75447506624,bookTicker,478
1756384600863,75447506625,bookTicker,479
1756384600863,75447506626,bookTicker,480
1756384600864,75447506627,bookTicker,481
1756384600864,75447506628,bookTicker,482
1756384600865,75447506629,bookTicker,483
1756384600866,75447506630,bookTicker,484
1756384600866,75447506631,bookTicker,485
1756384600867,75447506632,bookTicker,486
1756384600867,75447506634,bookTicker,487
1756384600867,75447506635,bookTicker,488
1756384600868,75447506649,bookTicker,489
1756384600868,75447506651,bookTicker,490
1756384600868,75447506656,bookTicker,491
1756384600869,75447506662,bookTicker,492
1756384600869,75447506706,bookTicker,493
1756384600869,75447506768,bookTicker,494
1756384600870,75447506810,bookTicker,495
1756384600870,75447506843,bookTicker,496
1756384600871,75447506845,bookTicker,497
1756384600871,75447506851,bookTicker,498
1756384600871,75447506869,bookTicker,499
1756384600872,75447506881,bookTicker,500
1756384600872,75447506885,bookTicker,501
1756384600873,75447506887,bookTicker,502
1756384600874,75447506888,bookTicker,503
1756384600875,75447506906,bookTicker,504
1756384600875,75447506909,bookTicker,505
1756384600875,75447506911,bookTicker,506
1756384600876,75447506913,bookTicker,507
1756384600883,75447506923,bookTicker,508
1756384600884,75447506929,bookTicker,509
1756384600885,75447506930,bookTicker,510
1756384600885,75447506931,bookTicker,511
1756384600885,75447506935,bookTicker,512
1756384600886,75447506942,bookTicker,513
1756384600886,75447506945,bookTicker,514
1756384600887,75447506955,bookTicker,515
1756384600887,75447506962,bookTicker,516
1756384600888,75447506970,bookTicker,517
1756384600888,75447506971,bookTicker,518
1756384600888,75447506972,bookTicker,519
1756384600889,75447506978,bookTicker,520
1756384600889,75447506980,bookTicker,521
1756384600891,75447507006,bookTicker,522
1756384600891,75447507015,bookTicker,523
1756384600891,75447507018,bookTicker,524
1756384600892,75447507031,bookTicker,525
1756384600892,75447507049,bookTicker,526
1756384600893,75447507050,bookTicker,527
1756384600893,75447507051,bookTicker,528
1756384600893,75447507052,bookTicker,529
1756384600894,75447507053,bookTicker,530
1756384600894,75447507065,bookTicker,531
1756384600895,75447507107,bookTicker,532
1756384600895,75447507216,bookTicker,533
1756384600896,75447507230,bookTicker,534
1756384600896,75447507275,bookTicker,535
1756384600896,75447507366,bookTicker,536
1756384600897,75447507409,bookTicker,537
1756384600897,75447507489,bookTicker,538
1756384600898,75447507492,bookTicker,539
1756384600899,75447507493,bookTicker,540
1756384600900,75447507501,bookTicker,541
1756384600900,75447507504,bookTicker,542
1756384600901,75447507507,bookTicker,543
1756384600902,75447507508,bookTicker,544
1756384600902,75447507509,bookTicker,545
1756384600903,75447507511,bookTicker,546
1756384600903,75447507512,bookTicker,547
1756384600904,75447507513,bookTicker,548
1756384600905,75447507514,bookTicker,549
1756384600905,75447507522,bookTicker,550
1756384600906,75447507526,bookTicker,551
1756384600906,75447507528,bookTicker,552
1756384600907,75447507531,bookTicker,553
1756384600907,75447507538,bookTicker,554
1756384600907,75447507548,bookTicker,555
1756384600908,75447507551,bookTicker,556
1756384600908,75447507552,bookTicker,557
1756384600909,75447507553,bookTicker,558
1756384600910,75447507556,bookTicker,559
1756384600910,75447507559,bookTicker,560
1756384600910,75447507591,bookTicker,561
1756384600911,75447507592,bookTicker,562
1756384600912,75447507593,bookTicker,563
1756384600912,75447507597,bookTicker,564
1756384600913,75447507601,bookTicker,565
1756384600913,75447507602,bookTicker,566
1756384600914,75447507605,bookTicker,567
1756384600914,75447507606,bookTicker,568
1756384600915,75447507607,bookTicker,569
1756384600915,75447507609,bookTicker,570
1756384600916,75447507611,bookTicker,571
1756384600917,75447507612,bookTicker,572
1756384600918,75447507613,bookTicker,573
1756384600918,75447507614,bookTicker,574
1756384600919,75447507631,bookTicker,575
1756384600920,75447507759,bookTicker,576
1756384600920,75447507760,bookTicker,577
1756384600921,75447507764,bookTicker,578
1756384600922,75447507767,bookTicker,579
1756384600922,75447507770,bookTicker,580
1756384600923,75447507771,bookTicker,581
1756384600924,75447507791,bookTicker,582
1756384600924,75447507799,bookTicker,583
1756384600925,75447507800,bookTicker,584
1756384600926,75447507803,bookTicker,585
1756384600927,75447507804,bookTicker,586
1756384600928,75447507806,bookTicker,587
1756384600928,75447507811,bookTicker,588
1756384600928,75447507816,bookTicker,589
1756384600929,75447507818,bookTicker,590
1756384600930,75447507820,bookTicker,591
1756384600930,75447507825,bookTicker,592
1756384600931,75447507826,bookTicker,593
1756384600931,75447507828,bookTicker,594
1756384600932,75447507831,bookTicker,595
1756384600932,75447507832,bookTicker,596
1756384600933,75447507835,bookTicker,597
1756384600933,75447507837,bookTicker,598
1756384600934,75447507840,bookTicker,599
1756384600935,75447507841,bookTicker,600
1756384600936,75447507844,bookTicker,601
